,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Terance Mann,32:27,6.0,12.0,50.0,1.0,2.0,50.0,3.0,3.0,100.0,1.0,4.0,5.0,3.0,3.0,0.0,0.0,4.0,16.0,-1.0,01/25/2022,Washington Wizards,33.25
Nicolas Batum,8:14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,-22.0,01/25/2022,Washington Wizards,5.0
Ivica Zubac,12:13,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0,-19.0,01/25/2022,Washington Wizards,12.0
Amir Coffey,36:48,10.0,21.0,47.6,3.0,9.0,33.3,6.0,6.0,100.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,29.0,15.0,01/25/2022,Washington Wizards,43.75
Reggie Jackson,15:49,1.0,9.0,11.1,0.0,2.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,-29.0,01/25/2022,Washington Wizards,9.5
Justise Winslow,23:10,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,2.0,5.0,4.0,9.0,01/25/2022,Washington Wizards,16.5
Luke Kennard,29:54,8.0,13.0,61.5,5.0,8.0,62.5,4.0,4.0,100.0,1.0,7.0,8.0,6.0,1.0,0.0,0.0,4.0,25.0,26.0,01/25/2022,Washington Wizards,48.5
Eric Bledsoe,14:55,2.0,3.0,66.7,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,7.0,5.0,01/25/2022,Washington Wizards,18.25
Isaiah Hartenstein,25:38,6.0,12.0,50.0,0.0,1.0,0.0,4.0,5.0,80.0,1.0,4.0,5.0,6.0,1.0,1.0,2.0,5.0,16.0,23.0,01/25/2022,Washington Wizards,34.25
Brandon Boston Jr.,19:59,1.0,7.0,14.3,0.0,1.0,0.0,3.0,4.0,75.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,-6.0,01/25/2022,Washington Wizards,11.5
Serge Ibaka,4:07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-12.0,01/25/2022,Washington Wizards,-0.5
Jay Scrubb,16:46,3.0,4.0,75.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,8.0,16.0,01/25/2022,Washington Wizards,14.0
