,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
LeBron James,41:38,14.0,27.0,51.9,7.0,13.0,53.8,4.0,6.0,66.7,1.0,8.0,9.0,5.0,0.0,1.0,4.0,1.0,39.0,-9.0,03/27/2022,New Orleans Pelicans,61.25
Wenyen Gabriel,17:33,2.0,3.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0,5.0,03/27/2022,New Orleans Pelicans,7.5
Dwight Howard,33:22,3.0,5.0,60.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,8.0,10.0,0.0,0.0,0.0,1.0,3.0,8.0,-2.0,03/27/2022,New Orleans Pelicans,20.0
Austin Reaves,19:44,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,1.0,0.0,1.0,1.0,0.0,-16.0,03/27/2022,New Orleans Pelicans,18.0
Russell Westbrook,31:41,8.0,15.0,53.3,2.0,5.0,40.0,0.0,0.0,0.0,3.0,4.0,7.0,6.0,1.0,0.0,3.0,2.0,18.0,-18.0,03/27/2022,New Orleans Pelicans,37.25
Stanley Johnson,19:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,-11.0,03/27/2022,New Orleans Pelicans,3.25
Malik Monk,28:50,9.0,17.0,52.9,2.0,8.0,25.0,3.0,3.0,100.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,23.0,7.0,03/27/2022,New Orleans Pelicans,32.0
Carmelo Anthony,14:38,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,-6.0,03/27/2022,New Orleans Pelicans,9.0
D.J. Augustin,12:25,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,4.0,03/27/2022,New Orleans Pelicans,11.25
Talen Horton-Tucker,21:04,3.0,4.0,75.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,6.0,03/27/2022,New Orleans Pelicans,9.75
