,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Ziaire Williams,25:22,5.0,8.0,62.5,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,21.0,01/06/2022,Detroit Pistons,18.5
Jaren Jackson Jr.,26:41,5.0,13.0,38.5,1.0,4.0,25.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,2.0,11.0,28.0,01/06/2022,Detroit Pistons,24.5
Steven Adams,22:01,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,5.0,9.0,14.0,4.0,0.0,1.0,1.0,1.0,2.0,26.0,01/06/2022,Detroit Pistons,27.0
Dillon Brooks,24:30,8.0,17.0,47.1,1.0,4.0,25.0,1.0,1.0,100.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,18.0,24.0,01/06/2022,Detroit Pistons,39.25
Ja Morant,24:36,10.0,19.0,52.6,0.0,3.0,0.0,2.0,2.0,100.0,3.0,6.0,9.0,6.0,0.0,1.0,5.0,0.0,22.0,29.0,01/06/2022,Detroit Pistons,41.75
Santi Aldama,18:06,2.0,4.0,50.0,0.0,2.0,0.0,3.0,5.0,60.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,7.0,-2.0,01/06/2022,Detroit Pistons,11.75
De'Anthony Melton,20:56,1.0,7.0,14.3,1.0,6.0,16.7,1.0,1.0,100.0,1.0,7.0,8.0,6.0,1.0,2.0,4.0,3.0,4.0,2.0,01/06/2022,Detroit Pistons,27.5
Brandon Clarke,21:39,5.0,9.0,55.6,0.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,2.0,0.0,1.0,3.0,4.0,11.0,0.0,01/06/2022,Detroit Pistons,19.5
Killian Tillie,19:24,2.0,6.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,01/06/2022,Detroit Pistons,13.75
Tyus Jones,20:24,6.0,7.0,85.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,14.0,3.0,01/06/2022,Detroit Pistons,25.5
Jarrett Culver,5:34,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,01/06/2022,Detroit Pistons,6.25
DaQuan Jeffries,4:20,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,01/06/2022,Detroit Pistons,3.25
Dakota Mathias,3:14,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,01/06/2022,Detroit Pistons,9.5
Jon Teske,3:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,01/06/2022,Detroit Pistons,2.75
