,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Duncan Robinson,29:30,7.0,11.0,63.6,4.0,7.0,57.1,6.0,7.0,85.7,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,24.0,10.0,12/03/2021,Indiana Pacers,29.5
P.J. Tucker,30:51,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,2.0,2.0,0.0,2.0,6.0,4.0,12/03/2021,Indiana Pacers,27.5
Dewayne Dedmon,22:33,3.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,7.0,11.0,12/03/2021,Indiana Pacers,20.0
Tyler Herro,34:24,7.0,16.0,43.8,3.0,4.0,75.0,1.0,1.0,100.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,3.0,18.0,-2.0,12/03/2021,Indiana Pacers,28.25
Kyle Lowry,38:27,9.0,18.0,50.0,6.0,13.0,46.2,2.0,2.0,100.0,0.0,3.0,3.0,9.0,0.0,0.0,4.0,5.0,26.0,7.0,12/03/2021,Indiana Pacers,44.25
Gabe Vincent,27:38,5.0,9.0,55.6,2.0,5.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,12.0,3.0,12/03/2021,Indiana Pacers,23.5
Udonis Haslem,6:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,12/03/2021,Indiana Pacers,1.25
Caleb Martin,17:32,1.0,4.0,25.0,0.0,1.0,0.0,2.0,3.0,66.7,2.0,3.0,5.0,3.0,0.0,1.0,0.0,1.0,4.0,8.0,12/03/2021,Indiana Pacers,16.75
Max Strus,13:39,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,12/03/2021,Indiana Pacers,7.25
Omer Yurtseven,19:18,6.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,3.0,12.0,1.0,12/03/2021,Indiana Pacers,21.75
