,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Grayson Allen,27:52,3.0,11.0,27.3,2.0,7.0,28.6,3.0,4.0,75.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,11.0,4.0,10/22/2022,Houston Rockets,23.25
Giannis Antetokounmpo,27:38,17.0,21.0,81.0,2.0,3.0,66.7,8.0,13.0,61.5,2.0,10.0,12.0,3.0,0.0,0.0,4.0,2.0,44.0,23.0,10/22/2022,Houston Rockets,62.5
Brook Lopez,28:47,3.0,7.0,42.9,3.0,6.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,5.0,1.0,3.0,9.0,4.0,10/22/2022,Houston Rockets,33.25
Jevon Carter,25:15,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,4.0,0.0,7.0,10/22/2022,Houston Rockets,9.75
Jrue Holiday,32:09,8.0,15.0,53.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,3.0,2.0,2.0,19.0,8.0,10/22/2022,Houston Rockets,46.75
George Hill,23:39,3.0,4.0,75.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,9.0,20.0,10/22/2022,Houston Rockets,21.5
Jordan Nwora,17:40,4.0,6.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,9.0,15.0,10/22/2022,Houston Rockets,11.75
Bobby Portis,22:30,6.0,10.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,2.0,13.0,8.0,10/22/2022,Houston Rockets,28.0
Wesley Matthews,12:04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10/22/2022,Houston Rockets,1.25
Serge Ibaka,14:51,3.0,5.0,60.0,2.0,2.0,100.0,1.0,2.0,50.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,3.0,9.0,7.0,10/22/2022,Houston Rockets,18.25
MarJon Beauchamp,2:14,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,10/22/2022,Houston Rockets,2.0
A.J. Green,2:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,10/22/2022,Houston Rockets,1.5
Sandro Mamukelashvili,2:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,10/22/2022,Houston Rockets,-0.5
Thanasis Antetokounmpo,0:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/22/2022,Houston Rockets,0.0
