,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Josh Okogie,11:20,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,-10.0,10/25/2021,New Orleans Pelicans,6.5
Jaden McDaniels,32:32,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,10/25/2021,New Orleans Pelicans,12.0
Karl-Anthony Towns,39:36,10.0,24.0,41.7,4.0,10.0,40.0,8.0,8.0,100.0,6.0,8.0,14.0,7.0,2.0,2.0,3.0,3.0,32.0,8.0,10/25/2021,New Orleans Pelicans,68.5
Anthony Edwards,40:28,10.0,23.0,43.5,4.0,11.0,36.4,4.0,4.0,100.0,1.0,8.0,9.0,3.0,1.0,0.0,3.0,5.0,28.0,5.0,10/25/2021,New Orleans Pelicans,46.25
D'Angelo Russell,29:33,3.0,14.0,21.4,1.0,8.0,12.5,2.0,2.0,100.0,0.0,6.0,6.0,4.0,2.0,1.0,2.0,0.0,9.0,-12.0,10/25/2021,New Orleans Pelicans,28.0
Patrick Beverley,20:27,4.0,6.0,66.7,4.0,5.0,80.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,13.0,-3.0,10/25/2021,New Orleans Pelicans,24.5
Malik Beasley,28:54,1.0,8.0,12.5,1.0,7.0,14.3,2.0,2.0,100.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,10/25/2021,New Orleans Pelicans,10.0
Naz Reid,8:24,1.0,3.0,33.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,-17.0,10/25/2021,New Orleans Pelicans,6.0
Jarred Vanderbilt,8:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-16.0,10/25/2021,New Orleans Pelicans,-0.5
Jordan McLaughlin,11:08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-10.0,10/25/2021,New Orleans Pelicans,5.25
Taurean Prince,8:50,1.0,4.0,25.0,0.0,3.0,0.0,3.0,3.0,100.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,10/25/2021,New Orleans Pelicans,8.75
