,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Herbert Jones,23:53,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,-9.0,12/12/2021,San Antonio Spurs,11.75
Brandon Ingram,38:30,11.0,25.0,44.0,0.0,4.0,0.0,5.0,8.0,62.5,1.0,6.0,7.0,9.0,1.0,0.0,1.0,3.0,27.0,0.0,12/12/2021,San Antonio Spurs,50.75
Jonas Valanciunas,32:19,7.0,15.0,46.7,1.0,3.0,33.3,2.0,3.0,66.7,6.0,6.0,12.0,4.0,0.0,1.0,4.0,3.0,17.0,-15.0,12/12/2021,San Antonio Spurs,38.5
Josh Hart,33:18,6.0,8.0,75.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,9.0,10.0,4.0,0.0,0.0,1.0,1.0,13.0,-21.0,12/12/2021,San Antonio Spurs,31.5
Devonte' Graham,31:11,3.0,11.0,27.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,8.0,-19.0,12/12/2021,San Antonio Spurs,13.5
Willy Hernangomez,15:41,4.0,5.0,80.0,0.0,0.0,0.0,2.0,3.0,66.7,2.0,7.0,9.0,1.0,0.0,1.0,1.0,4.0,10.0,0.0,12/12/2021,San Antonio Spurs,24.25
Tomas Satoransky,16:49,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,12/12/2021,San Antonio Spurs,6.5
Nickeil Alexander-Walker,30:49,6.0,16.0,37.5,3.0,6.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,4.0,15.0,-7.0,12/12/2021,San Antonio Spurs,21.5
Garrett Temple,12:38,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,-10.0,12/12/2021,San Antonio Spurs,4.25
Trey Murphy III,4:52,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,12/12/2021,San Antonio Spurs,4.0
