,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
RJ Barrett,42:35,7.0,21.0,33.3,4.0,9.0,44.4,1.0,5.0,20.0,1.0,5.0,6.0,2.0,2.0,0.0,2.0,3.0,19.0,-21.0,01/08/2022,Boston Celtics,34.5
Julius Randle,37:26,6.0,19.0,31.6,1.0,8.0,12.5,0.0,0.0,0.0,2.0,10.0,12.0,6.0,1.0,0.0,6.0,3.0,13.0,-17.0,01/08/2022,Boston Celtics,36.5
Mitchell Robinson,28:16,5.0,5.0,100.0,0.0,0.0,0.0,1.0,4.0,25.0,6.0,2.0,8.0,0.0,0.0,1.0,2.0,1.0,11.0,-15.0,01/08/2022,Boston Celtics,22.0
Alec Burks,33:51,2.0,11.0,18.2,1.0,4.0,25.0,3.0,3.0,100.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,8.0,-16.0,01/08/2022,Boston Celtics,22.5
Immanuel Quickley,36:54,7.0,11.0,63.6,3.0,5.0,60.0,1.0,2.0,50.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,18.0,-15.0,01/08/2022,Boston Celtics,28.75
Taj Gibson,18:14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-7.0,01/08/2022,Boston Celtics,5.25
Quentin Grimes,27:48,2.0,6.0,33.3,2.0,4.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,6.0,-15.0,01/08/2022,Boston Celtics,15.25
Obi Toppin,9:04,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-5.0,01/08/2022,Boston Celtics,2.0
Miles McBride,2:52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,01/08/2022,Boston Celtics,0.0
Jericho Sims,1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,01/08/2022,Boston Celtics,0.0
Kevin Knox II,1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,01/08/2022,Boston Celtics,1.25
