,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Luguentz Dort,31:59,3.0,10.0,30.0,2.0,7.0,28.6,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,10.0,-26.0,01/22/2022,Cleveland Cavaliers,15.5
Darius Bazley,21:32,1.0,6.0,16.7,0.0,4.0,0.0,2.0,2.0,100.0,0.0,7.0,7.0,0.0,2.0,0.0,1.0,3.0,4.0,-16.0,01/22/2022,Cleveland Cavaliers,16.25
Jeremiah Robinson-Earl,26:19,1.0,9.0,11.1,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,-28.0,01/22/2022,Cleveland Cavaliers,9.5
Josh Giddey,33:50,3.0,12.0,25.0,1.0,6.0,16.7,1.0,2.0,50.0,2.0,3.0,5.0,3.0,2.0,0.0,3.0,6.0,8.0,-16.0,01/22/2022,Cleveland Cavaliers,21.75
Shai Gilgeous-Alexander,38:32,12.0,23.0,52.2,3.0,7.0,42.9,2.0,5.0,40.0,2.0,7.0,9.0,6.0,3.0,1.0,3.0,5.0,29.0,-1.0,01/22/2022,Cleveland Cavaliers,57.25
Kenrich Williams,24:36,5.0,8.0,62.5,2.0,4.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,12.0,16.0,01/22/2022,Cleveland Cavaliers,20.5
Aaron Wiggins,21:35,4.0,6.0,66.7,1.0,3.0,33.3,2.0,3.0,66.7,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,11.0,6.0,01/22/2022,Cleveland Cavaliers,17.0
Tre Mann,9:18,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,01/22/2022,Cleveland Cavaliers,8.25
Ty Jerome,16:24,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,10.0,01/22/2022,Cleveland Cavaliers,12.75
Mamadi Diakite,15:55,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,01/22/2022,Cleveland Cavaliers,16.0
