,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Chuma Okeke,32:03,2.0,10.0,20.0,2.0,7.0,28.6,2.0,2.0,100.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,8.0,-6.0,12/15/2021,Atlanta Hawks,19.0
Franz Wagner,34:19,5.0,14.0,35.7,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,4.0,10.0,-17.0,12/15/2021,Atlanta Hawks,21.5
Wendell Carter Jr.,29:54,4.0,10.0,40.0,1.0,4.0,25.0,0.0,0.0,0.0,4.0,11.0,15.0,3.0,1.0,0.0,1.0,3.0,9.0,-15.0,12/15/2021,Atlanta Hawks,34.25
R.J. Hampton,27:16,4.0,9.0,44.4,3.0,4.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,15.0,-6.0,12/15/2021,Atlanta Hawks,22.5
Cole Anthony,34:19,3.0,14.0,21.4,0.0,5.0,0.0,1.0,1.0,100.0,1.0,4.0,5.0,5.0,0.0,0.0,4.0,2.0,7.0,-17.0,12/15/2021,Atlanta Hawks,18.75
Terrence Ross,32:02,7.0,17.0,41.2,0.0,5.0,0.0,4.0,5.0,80.0,1.0,6.0,7.0,8.0,1.0,1.0,4.0,1.0,18.0,-8.0,12/15/2021,Atlanta Hawks,40.75
Mychal Mulder,13:41,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,12/15/2021,Atlanta Hawks,8.75
Moritz Wagner,18:06,6.0,9.0,66.7,3.0,4.0,75.0,4.0,4.0,100.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,19.0,3.0,12/15/2021,Atlanta Hawks,29.0
Ignas Brazdeikis,12:31,1.0,3.0,33.3,0.0,1.0,0.0,4.0,4.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,12/15/2021,Atlanta Hawks,7.25
Robin Lopez,5:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,12/15/2021,Atlanta Hawks,1.25
