,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Matisse Thybulle,16:51,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,-13.0,03/04/2022,Cleveland Cavaliers,3.25
Tobias Harris,37:56,7.0,16.0,43.8,0.0,5.0,0.0,1.0,1.0,100.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,15.0,7.0,03/04/2022,Cleveland Cavaliers,23.0
Joel Embiid,36:07,7.0,14.0,50.0,0.0,4.0,0.0,8.0,9.0,88.9,2.0,7.0,9.0,5.0,2.0,0.0,2.0,4.0,22.0,-1.0,03/04/2022,Cleveland Cavaliers,43.75
Tyrese Maxey,37:55,10.0,15.0,66.7,5.0,6.0,83.3,8.0,9.0,88.9,0.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,33.0,-3.0,03/04/2022,Cleveland Cavaliers,52.5
James Harden,35:40,6.0,10.0,60.0,2.0,4.0,50.0,11.0,12.0,91.7,0.0,3.0,3.0,11.0,1.0,0.0,3.0,4.0,25.0,6.0,03/04/2022,Cleveland Cavaliers,46.75
Furkan Korkmaz,7:05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,03/04/2022,Cleveland Cavaliers,0.0
Georges Niang,23:23,6.0,9.0,66.7,5.0,8.0,62.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,17.0,13.0,03/04/2022,Cleveland Cavaliers,26.0
Danny Green,15:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,03/04/2022,Cleveland Cavaliers,1.25
Paul Millsap,8:12,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,03/04/2022,Cleveland Cavaliers,6.0
Shake Milton,20:53,4.0,6.0,66.7,2.0,3.0,66.7,1.0,1.0,100.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,11.0,18.0,03/04/2022,Cleveland Cavaliers,18.0
