,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Justise Winslow,30:24,3.0,12.0,25.0,0.0,2.0,0.0,4.0,4.0,100.0,4.0,5.0,9.0,3.0,1.0,1.0,2.0,1.0,10.0,7.0,03/21/2022,Detroit Pistons,28.75
Trendon Watford,29:53,5.0,9.0,55.6,0.0,0.0,0.0,3.0,6.0,50.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,13.0,2.0,03/21/2022,Detroit Pistons,31.75
Drew Eubanks,31:18,5.0,8.0,62.5,0.0,1.0,0.0,7.0,8.0,87.5,5.0,3.0,8.0,2.0,0.0,1.0,0.0,3.0,17.0,7.0,03/21/2022,Detroit Pistons,32.0
CJ Elleby,25:13,5.0,7.0,71.4,2.0,3.0,66.7,4.0,7.0,57.1,3.0,5.0,8.0,2.0,3.0,1.0,2.0,2.0,16.0,2.0,03/21/2022,Detroit Pistons,37.0
Brandon Williams,33:23,6.0,17.0,35.3,0.0,3.0,0.0,11.0,11.0,100.0,2.0,4.0,6.0,3.0,3.0,0.0,2.0,2.0,23.0,8.0,03/21/2022,Detroit Pistons,40.0
Greg Brown III,12:04,2.0,2.0,100.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,8.0,-8.0,03/21/2022,Detroit Pistons,12.5
Ben McLemore,30:36,7.0,16.0,43.8,5.0,12.0,41.7,2.0,4.0,50.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,21.0,-3.0,03/21/2022,Detroit Pistons,38.25
Kris Dunn,26:57,1.0,8.0,12.5,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,7.0,03/21/2022,Detroit Pistons,15.0
Keon Johnson,14:01,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,-2.0,03/21/2022,Detroit Pistons,9.0
Elijah Hughes,6:12,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,03/21/2022,Detroit Pistons,10.0
