,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Harrison Barnes,29:47,4.0,9.0,44.4,0.0,5.0,0.0,4.0,4.0,100.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,12.0,-10.0,04/05/2022,New Orleans Pelicans,21.0
Trey Lyles,19:21,3.0,5.0,60.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,-12.0,04/05/2022,New Orleans Pelicans,13.0
Damian Jones,28:41,8.0,10.0,80.0,1.0,1.0,100.0,5.0,5.0,100.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,22.0,-12.0,04/05/2022,New Orleans Pelicans,30.5
Justin Holiday,17:58,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,-18.0,04/05/2022,New Orleans Pelicans,13.25
Davion Mitchell,39:57,6.0,14.0,42.9,1.0,4.0,25.0,2.0,2.0,100.0,0.0,1.0,1.0,17.0,0.0,0.0,5.0,4.0,15.0,-10.0,04/05/2022,New Orleans Pelicans,39.75
Neemias Queta,10:53,1.0,3.0,33.3,0.0,0.0,0.0,3.0,4.0,75.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,-2.0,04/05/2022,New Orleans Pelicans,9.5
Donte DiVincenzo,29:07,2.0,8.0,25.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,4.0,2.0,6.0,5.0,04/05/2022,New Orleans Pelicans,13.75
Chimezie Metu,28:14,5.0,8.0,62.5,1.0,3.0,33.3,1.0,2.0,50.0,0.0,5.0,5.0,0.0,1.0,1.0,2.0,4.0,12.0,-3.0,04/05/2022,New Orleans Pelicans,21.75
Jeremy Lamb,22:46,5.0,9.0,55.6,2.0,4.0,50.0,3.0,3.0,100.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,15.0,-6.0,04/05/2022,New Orleans Pelicans,33.25
Josh Jackson,13:16,3.0,6.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,-2.0,04/05/2022,New Orleans Pelicans,9.75
