,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Keldon Johnson,31:51,5.0,14.0,35.7,2.0,5.0,40.0,4.0,4.0,100.0,2.0,9.0,11.0,1.0,2.0,0.0,2.0,2.0,16.0,-9.0,12/19/2021,Sacramento Kings,35.25
Devin Vassell,27:46,5.0,7.0,71.4,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,11.0,-4.0,12/19/2021,Sacramento Kings,16.5
Jakob Poeltl,33:48,2.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,1.0,2.0,1.0,3.0,4.0,-11.0,12/19/2021,Sacramento Kings,24.0
Derrick White,24:44,2.0,8.0,25.0,0.0,3.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,-18.0,12/19/2021,Sacramento Kings,12.75
Dejounte Murray,35:11,11.0,17.0,64.7,0.0,0.0,0.0,3.0,4.0,75.0,0.0,7.0,7.0,9.0,1.0,0.0,2.0,2.0,25.0,-9.0,12/19/2021,Sacramento Kings,48.25
Lonnie Walker IV,25:12,8.0,16.0,50.0,3.0,4.0,75.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,19.0,-13.0,12/19/2021,Sacramento Kings,30.25
Tre Jones,10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,12/19/2021,Sacramento Kings,9.25
Jock Landale,10:51,1.0,2.0,50.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,7.0,12/19/2021,Sacramento Kings,11.5
Bryn Forbes,26:17,7.0,12.0,58.3,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,18.0,7.0,12/19/2021,Sacramento Kings,23.75
Keita Bates-Diop,10:39,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,7.0,10.0,12/19/2021,Sacramento Kings,16.5
Drew Eubanks,3:21,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,-3.0,12/19/2021,Sacramento Kings,6.0
