,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Pascal Siakam,40:19,10.0,20.0,50.0,1.0,2.0,50.0,4.0,9.0,44.4,4.0,15.0,19.0,7.0,2.0,2.0,3.0,2.0,25.0,22.0,12/31/2021,LA Clippers,66.25
O.G. Anunoby,35:55,8.0,16.0,50.0,3.0,7.0,42.9,7.0,8.0,87.5,3.0,3.0,6.0,0.0,4.0,0.0,1.0,3.0,26.0,10.0,12/31/2021,LA Clippers,42.5
Khem Birch,19:26,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,12/31/2021,LA Clippers,13.75
Gary Trent Jr.,30:41,4.0,12.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,12/31/2021,LA Clippers,13.5
Fred VanVleet,39:04,10.0,27.0,37.0,4.0,13.0,30.8,7.0,8.0,87.5,2.0,2.0,4.0,9.0,2.0,1.0,1.0,3.0,31.0,11.0,12/31/2021,LA Clippers,57.0
Yuta Watanabe,13:22,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-8.0,12/31/2021,LA Clippers,1.25
Precious Achiuwa,8:50,1.0,3.0,33.3,0.0,1.0,0.0,2.0,2.0,100.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,-12.0,12/31/2021,LA Clippers,7.75
Chris Boucher,22:52,1.0,3.0,33.3,0.0,1.0,0.0,4.0,4.0,100.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,12/31/2021,LA Clippers,17.25
Malachi Flynn,4:51,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,-9.0,12/31/2021,LA Clippers,5.5
Svi Mykhailiuk,12:07,1.0,3.0,33.3,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,12/31/2021,LA Clippers,7.0
Dalano Banton,2:41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,12/31/2021,LA Clippers,-0.5
Justin Champagnie,9:52,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,12/31/2021,LA Clippers,6.75
