,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Royce O'Neale,31:25,2.0,9.0,22.2,1.0,5.0,20.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,5.0,2.0,0.0,3.0,5.0,-3.0,11/24/2021,Oklahoma City Thunder,29.75
Bojan Bogdanovic,30:31,6.0,12.0,50.0,2.0,7.0,28.6,5.0,6.0,83.3,0.0,5.0,5.0,1.0,1.0,0.0,2.0,0.0,19.0,-2.0,11/24/2021,Oklahoma City Thunder,28.75
Rudy Gobert,39:10,5.0,7.0,71.4,0.0,0.0,0.0,5.0,6.0,83.3,3.0,14.0,17.0,0.0,2.0,5.0,2.0,0.0,15.0,13.0,11/24/2021,Oklahoma City Thunder,49.25
Donovan Mitchell,35:43,6.0,16.0,37.5,1.0,7.0,14.3,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,13.0,2.0,11/24/2021,Oklahoma City Thunder,26.25
Mike Conley,29:26,6.0,12.0,50.0,4.0,10.0,40.0,2.0,2.0,100.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,18.0,-5.0,11/24/2021,Oklahoma City Thunder,28.75
Joe Ingles,21:44,1.0,6.0,16.7,1.0,6.0,16.7,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,5.0,11/24/2021,Oklahoma City Thunder,9.25
Hassan Whiteside,2:54,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-4.0,11/24/2021,Oklahoma City Thunder,3.25
Jordan Clarkson,24:20,7.0,12.0,58.3,3.0,7.0,42.9,3.0,4.0,75.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,3.0,20.0,11.0,11/24/2021,Oklahoma City Thunder,32.25
Rudy Gay,16:28,5.0,8.0,62.5,3.0,4.0,75.0,2.0,2.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,15.0,7.0,11/24/2021,Oklahoma City Thunder,22.75
Trent Forrest,2:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,11/24/2021,Oklahoma City Thunder,1.5
Eric Paschall,5:56,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,-3.0,11/24/2021,Oklahoma City Thunder,1.5
