,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Kentavious Caldwell-Pope,34:49,8.0,14.0,57.1,1.0,4.0,25.0,2.0,3.0,66.7,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,19.0,0.0,03/14/2022,Golden State Warriors,27.5
Kyle Kuzma,31:17,4.0,12.0,33.3,1.0,6.0,16.7,2.0,2.0,100.0,1.0,7.0,8.0,3.0,0.0,0.0,3.0,3.0,11.0,-16.0,03/14/2022,Golden State Warriors,24.5
Kristaps Porzingis,27:27,7.0,13.0,53.8,1.0,5.0,20.0,10.0,10.0,100.0,1.0,7.0,8.0,4.0,0.0,0.0,3.0,1.0,25.0,-2.0,03/14/2022,Golden State Warriors,40.0
Corey Kispert,20:08,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,-4.0,03/14/2022,Golden State Warriors,6.75
Raul Neto,22:28,4.0,6.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,4.0,0.0,2.0,2.0,8.0,-5.0,03/14/2022,Golden State Warriors,29.25
Deni Avdija,28:41,4.0,8.0,50.0,2.0,4.0,50.0,3.0,5.0,60.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,13.0,-13.0,03/14/2022,Golden State Warriors,24.5
Daniel Gafford,20:33,4.0,6.0,66.7,0.0,0.0,0.0,1.0,3.0,33.3,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,-12.0,03/14/2022,Golden State Warriors,13.5
Rui Hachimura,23:11,5.0,7.0,71.4,2.0,2.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,12.0,-5.0,03/14/2022,Golden State Warriors,17.75
Ish Smith,23:33,4.0,12.0,33.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,2.0,11.0,-9.0,03/14/2022,Golden State Warriors,26.25
Tomas Satoransky,6:23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,03/14/2022,Golden State Warriors,1.5
Anthony Gill,1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,03/14/2022,Golden State Warriors,1.25
