,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Eric Gordon,16:39,4.0,8.0,50.0,2.0,5.0,40.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,3.0,10/14/2022,Indiana Pacers,16.5
Kenyon Martin Jr.,33:36,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,1.0,2.0,1.0,10.0,9.0,10/14/2022,Indiana Pacers,25.25
Alperen Sengun,24:54,4.0,9.0,44.4,2.0,2.0,100.0,2.0,2.0,100.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,3.0,12.0,11.0,10/14/2022,Indiana Pacers,29.25
Jalen Green,28:46,10.0,15.0,66.7,4.0,7.0,57.1,9.0,9.0,100.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,33.0,15.0,10/14/2022,Indiana Pacers,42.25
Kevin Porter Jr.,26:35,8.0,14.0,57.1,5.0,6.0,83.3,1.0,2.0,50.0,2.0,5.0,7.0,3.0,0.0,0.0,2.0,1.0,22.0,16.0,10/14/2022,Indiana Pacers,36.75
Bruno Fernando,14:57,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,10/14/2022,Indiana Pacers,8.5
Tari Eason,21:42,3.0,5.0,60.0,1.0,2.0,50.0,2.0,2.0,100.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,9.0,11.0,10/14/2022,Indiana Pacers,19.5
Josh Christopher,23:12,5.0,14.0,35.7,1.0,6.0,16.7,0.0,0.0,0.0,1.0,7.0,8.0,1.0,2.0,0.0,3.0,1.0,11.0,-7.0,10/14/2022,Indiana Pacers,25.5
TyTy Washington Jr.,20:36,3.0,8.0,37.5,1.0,4.0,25.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,-6.0,10/14/2022,Indiana Pacers,8.75
Usman Garuba,16:05,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,0.0,0.0,3.0,2.0,0.0,-13.0,10/14/2022,Indiana Pacers,9.75
Trevor Hudgins,8:02,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-3.0,10/14/2022,Indiana Pacers,3.75
Boban Marjanovic,4:57,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,10/14/2022,Indiana Pacers,6.5
