,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Aaron Nesmith,29:45,4.0,6.0,66.7,2.0,4.0,50.0,5.0,7.0,71.4,1.0,6.0,7.0,3.0,1.0,0.0,1.0,2.0,15.0,9.0,10/28/2022,Washington Wizards,30.75
Jalen Smith,31:05,4.0,6.0,66.7,0.0,0.0,0.0,7.0,8.0,87.5,0.0,7.0,7.0,0.0,0.0,0.0,1.0,2.0,15.0,14.0,10/28/2022,Washington Wizards,23.25
Myles Turner,32:21,7.0,14.0,50.0,3.0,4.0,75.0,10.0,10.0,100.0,1.0,9.0,10.0,2.0,0.0,5.0,2.0,4.0,27.0,20.0,10/28/2022,Washington Wizards,53.0
Buddy Hield,33:22,10.0,17.0,58.8,5.0,9.0,55.6,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,25.0,10.0,10/28/2022,Washington Wizards,36.25
Tyrese Haliburton,36:00,9.0,16.0,56.3,3.0,6.0,50.0,4.0,4.0,100.0,0.0,2.0,2.0,12.0,1.0,0.0,1.0,1.0,25.0,12.0,10/28/2022,Washington Wizards,48.5
Bennedict Mathurin,23:03,4.0,11.0,36.4,1.0,4.0,25.0,2.0,2.0,100.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,5.0,10/28/2022,Washington Wizards,16.5
Isaiah Jackson,12:18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,4.0,0.0,-4.0,10/28/2022,Washington Wizards,10.5
Chris Duarte,11:37,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,10/28/2022,Washington Wizards,6.0
Andrew Nembhard,16:02,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,-12.0,10/28/2022,Washington Wizards,7.25
T.J. McConnell,12:00,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,-2.0,10/28/2022,Washington Wizards,10.75
Goga Bitadze,2:27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,10/28/2022,Washington Wizards,3.5
