,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Paul George,36:17,10.0,17.0,58.8,2.0,7.0,28.6,7.0,9.0,77.8,0.0,6.0,6.0,4.0,1.0,2.0,4.0,3.0,29.0,16.0,11/09/2022,Los Angeles Lakers,47.5
Marcus Morris Sr.,32:21,4.0,9.0,44.4,3.0,5.0,60.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,2.0,2.0,1.0,4.0,11.0,12.0,11/09/2022,Los Angeles Lakers,31.5
Ivica Zubac,36:14,4.0,4.0,100.0,0.0,0.0,0.0,2.0,5.0,40.0,2.0,6.0,8.0,2.0,1.0,2.0,2.0,3.0,10.0,-8.0,11/09/2022,Los Angeles Lakers,28.0
Luke Kennard,24:55,5.0,9.0,55.6,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,9.0,11/09/2022,Los Angeles Lakers,23.25
Reggie Jackson,24:03,7.0,14.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,5.0,14.0,2.0,11/09/2022,Los Angeles Lakers,18.5
Terance Mann,21:29,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,7.0,16.0,11/09/2022,Los Angeles Lakers,17.5
John Wall,23:14,3.0,10.0,30.0,1.0,5.0,20.0,3.0,3.0,100.0,1.0,3.0,4.0,6.0,2.0,1.0,0.0,1.0,10.0,9.0,11/09/2022,Los Angeles Lakers,30.5
Norman Powell,24:22,5.0,10.0,50.0,2.0,5.0,40.0,6.0,7.0,85.7,0.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,18.0,4.0,11/09/2022,Los Angeles Lakers,25.25
Nicolas Batum,15:39,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,11/09/2022,Los Angeles Lakers,10.5
Amir Coffey,0:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11/09/2022,Los Angeles Lakers,0.0
Moses Brown,0:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11/09/2022,Los Angeles Lakers,1.25
