,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Dillon Brooks,32:34,9.0,17.0,52.9,1.0,6.0,16.7,2.0,2.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,21.0,1.0,11/11/2022,Minnesota Timberwolves,26.0
Santi Aldama,34:20,5.0,7.0,71.4,1.0,2.0,50.0,1.0,2.0,50.0,1.0,6.0,7.0,0.0,2.0,1.0,1.0,3.0,12.0,10.0,11/11/2022,Minnesota Timberwolves,26.75
Steven Adams,26:51,1.0,3.0,33.3,0.0,0.0,0.0,1.0,4.0,25.0,5.0,4.0,9.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0,11/11/2022,Minnesota Timberwolves,22.25
Desmond Bane,33:16,7.0,16.0,43.8,2.0,7.0,28.6,8.0,8.0,100.0,0.0,3.0,3.0,5.0,1.0,0.0,4.0,3.0,24.0,12.0,11/11/2022,Minnesota Timberwolves,36.25
Ja Morant,33:40,11.0,25.0,44.0,2.0,10.0,20.0,4.0,7.0,57.1,3.0,7.0,10.0,8.0,2.0,0.0,4.0,4.0,28.0,-2.0,11/11/2022,Minnesota Timberwolves,55.5
John Konchar,22:31,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11/11/2022,Minnesota Timberwolves,10.25
Jake LaRavia,12:08,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11/11/2022,Minnesota Timberwolves,5.5
Brandon Clarke,19:26,6.0,6.0,100.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,15.0,7.0,11/11/2022,Minnesota Timberwolves,24.75
Tyus Jones,19:01,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,14.0,11/11/2022,Minnesota Timberwolves,11.25
David Roddy,6:13,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,11/11/2022,Minnesota Timberwolves,9.5
