,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Caleb Martin,29:22,7.0,8.0,87.5,2.0,2.0,100.0,0.0,0.0,0.0,4.0,4.0,8.0,3.0,4.0,0.0,2.0,3.0,16.0,19.0,10/26/2022,Portland Trail Blazers,38.5
Jimmy Butler,27:58,7.0,15.0,46.7,0.0,3.0,0.0,3.0,4.0,75.0,3.0,2.0,5.0,5.0,2.0,0.0,1.0,1.0,17.0,11.0,10/26/2022,Portland Trail Blazers,34.25
Bam Adebayo,28:21,6.0,11.0,54.5,0.0,1.0,0.0,6.0,7.0,85.7,3.0,5.0,8.0,3.0,1.0,0.0,3.0,3.0,18.0,17.0,10/26/2022,Portland Trail Blazers,33.0
Tyler Herro,28:23,5.0,13.0,38.5,3.0,8.0,37.5,1.0,1.0,100.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,14.0,10.0,10/26/2022,Portland Trail Blazers,26.0
Kyle Lowry,26:27,5.0,8.0,62.5,5.0,7.0,71.4,2.0,3.0,66.7,0.0,2.0,2.0,6.0,1.0,1.0,3.0,2.0,17.0,8.0,10/26/2022,Portland Trail Blazers,33.5
Dewayne Dedmon,5:15,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,10/26/2022,Portland Trail Blazers,3.25
Max Strus,27:39,6.0,11.0,54.5,4.0,7.0,57.1,0.0,0.0,0.0,3.0,6.0,9.0,3.0,2.0,0.0,3.0,1.0,16.0,24.0,10/26/2022,Portland Trail Blazers,36.25
Gabe Vincent,20:16,2.0,5.0,40.0,0.0,2.0,0.0,4.0,4.0,100.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,8.0,11.0,10/26/2022,Portland Trail Blazers,19.25
Duncan Robinson,19:06,2.0,7.0,28.6,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,12.0,10/26/2022,Portland Trail Blazers,13.25
Nikola Jovic,13:43,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,10/26/2022,Portland Trail Blazers,6.0
Dru Smith,5:37,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,-5.0,10/26/2022,Portland Trail Blazers,5.25
Haywood Highsmith,5:37,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-5.0,10/26/2022,Portland Trail Blazers,5.25
Udonis Haslem,2:16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,10/26/2022,Portland Trail Blazers,3.25
