,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Grayson Allen,19:53,2.0,4.0,50.0,1.0,3.0,33.3,4.0,4.0,100.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,9.0,11.0,10/31/2022,Detroit Pistons,15.0
Giannis Antetokounmpo,31:43,12.0,23.0,52.2,0.0,4.0,0.0,7.0,9.0,77.8,2.0,5.0,7.0,2.0,0.0,2.0,4.0,5.0,31.0,-1.0,10/31/2022,Detroit Pistons,44.75
Brook Lopez,34:25,10.0,16.0,62.5,2.0,5.0,40.0,2.0,2.0,100.0,4.0,5.0,9.0,0.0,0.0,2.0,1.0,4.0,24.0,12.0,10/31/2022,Detroit Pistons,39.75
Jevon Carter,24:08,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,10/31/2022,Detroit Pistons,13.0
Jrue Holiday,37:19,7.0,15.0,46.7,5.0,11.0,45.5,6.0,7.0,85.7,1.0,6.0,7.0,10.0,1.0,0.0,4.0,1.0,25.0,10.0,10/31/2022,Detroit Pistons,51.25
Bobby Portis,27:47,6.0,11.0,54.5,2.0,4.0,50.0,1.0,3.0,33.3,3.0,9.0,12.0,2.0,0.0,0.0,1.0,1.0,15.0,-1.0,10/31/2022,Detroit Pistons,33.5
Wesley Matthews,20:57,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,-3.0,10/31/2022,Detroit Pistons,7.25
Jordan Nwora,13:12,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-3.0,10/31/2022,Detroit Pistons,6.0
Serge Ibaka,9:30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.0,10/31/2022,Detroit Pistons,-1.0
George Hill,17:27,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,-10.0,10/31/2022,Detroit Pistons,7.25
MarJon Beauchamp,3:40,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,10/31/2022,Detroit Pistons,3.25
