,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Jaden McDaniels,38:04,10.0,14.0,71.4,2.0,4.0,50.0,2.0,3.0,66.7,4.0,4.0,8.0,3.0,0.0,1.0,2.0,2.0,24.0,8.0,11/09/2022,Phoenix Suns,40.5
Karl-Anthony Towns,27:40,3.0,7.0,42.9,1.0,3.0,33.3,4.0,4.0,100.0,0.0,8.0,8.0,4.0,0.0,1.0,3.0,4.0,11.0,4.0,11/09/2022,Phoenix Suns,28.0
Rudy Gobert,29:54,8.0,11.0,72.7,0.0,0.0,0.0,9.0,11.0,81.8,3.0,8.0,11.0,0.0,0.0,3.0,1.0,4.0,25.0,-6.0,11/09/2022,Phoenix Suns,44.25
Anthony Edwards,34:55,4.0,12.0,33.3,0.0,4.0,0.0,3.0,6.0,50.0,0.0,3.0,3.0,6.0,2.0,0.0,3.0,5.0,11.0,-2.0,11/09/2022,Phoenix Suns,26.25
D'Angelo Russell,33:18,6.0,14.0,42.9,4.0,9.0,44.4,4.0,4.0,100.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,2.0,20.0,-5.0,11/09/2022,Phoenix Suns,32.0
Kyle Anderson,22:06,3.0,4.0,75.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,-17.0,11/09/2022,Phoenix Suns,16.0
Taurean Prince,19:07,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-22.0,11/09/2022,Phoenix Suns,5.25
Jaylen Nowell,22:40,5.0,8.0,62.5,2.0,4.0,50.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,0.0,0.0,7.0,3.0,14.0,-11.0,11/09/2022,Phoenix Suns,18.5
Jordan McLaughlin,6:58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,11/09/2022,Phoenix Suns,1.25
Nathan Knight,5:18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,-3.0,11/09/2022,Phoenix Suns,6.5
