,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Franz Wagner,34:31,8.0,17.0,47.1,2.0,6.0,33.3,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,18.0,-17.0,10/22/2022,Boston Celtics,31.0
Paolo Banchero,33:13,6.0,19.0,31.6,2.0,7.0,28.6,9.0,11.0,81.8,1.0,4.0,5.0,3.0,0.0,1.0,2.0,1.0,23.0,-16.0,10/22/2022,Boston Celtics,35.75
Wendell Carter Jr.,34:56,6.0,13.0,46.2,1.0,1.0,100.0,2.0,4.0,50.0,5.0,7.0,12.0,5.0,0.0,1.0,3.0,5.0,15.0,-4.0,10/22/2022,Boston Celtics,38.5
Terrence Ross,35:09,11.0,16.0,68.8,5.0,8.0,62.5,2.0,2.0,100.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,29.0,-3.0,10/22/2022,Boston Celtics,40.0
Cole Anthony,31:43,6.0,13.0,46.2,2.0,5.0,40.0,0.0,2.0,0.0,1.0,8.0,9.0,6.0,1.0,1.0,2.0,4.0,14.0,0.0,10/22/2022,Boston Celtics,38.25
Mo Bamba,11:42,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,10/22/2022,Boston Celtics,5.0
Kevon Harris,18:45,1.0,4.0,25.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,10/22/2022,Boston Celtics,9.75
Chuma Okeke,16:08,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,8.0,-1.0,10/22/2022,Boston Celtics,17.0
Bol Bol,14:52,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.0,6.0,9.0,10/22/2022,Boston Celtics,20.25
R.J. Hampton,9:01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-2.0,10/22/2022,Boston Celtics,3.0
