,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Tobias Harris,37:26,9.0,15.0,60.0,3.0,7.0,42.9,2.0,2.0,100.0,2.0,7.0,9.0,4.0,1.0,2.0,2.0,2.0,23.0,-2.0,11/04/2022,New York Knicks,46.75
P.J. Tucker,24:52,1.0,5.0,20.0,0.0,3.0,0.0,1.0,2.0,50.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,5.0,11/04/2022,New York Knicks,13.75
Montrezl Harrell,29:05,4.0,6.0,66.7,0.0,0.0,0.0,6.0,8.0,75.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,14.0,-4.0,11/04/2022,New York Knicks,26.25
De'Anthony Melton,30:17,4.0,18.0,22.2,3.0,11.0,27.3,1.0,2.0,50.0,4.0,1.0,5.0,9.0,2.0,2.0,3.0,2.0,12.0,0.0,11/04/2022,New York Knicks,39.75
Tyrese Maxey,39:03,10.0,29.0,34.5,4.0,13.0,30.8,7.0,7.0,100.0,1.0,2.0,3.0,7.0,1.0,0.0,4.0,3.0,31.0,2.0,11/04/2022,New York Knicks,47.25
Shake Milton,17:28,3.0,7.0,42.9,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,6.0,3.0,11/04/2022,New York Knicks,12.25
Paul Reed,18:12,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,2.0,1.0,4.0,2.0,-3.0,11/04/2022,New York Knicks,22.5
Georges Niang,19:04,2.0,8.0,25.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,4.0,11/04/2022,New York Knicks,11.75
Furkan Korkmaz,11:29,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,-5.0,11/04/2022,New York Knicks,6.5
Matisse Thybulle,13:05,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,4.0,-10.0,11/04/2022,New York Knicks,11.75
