,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Josh Hart,23:56,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,-5.0,10/09/2022,Sacramento Kings,14.0
Jerami Grant,24:59,5.0,8.0,62.5,2.0,3.0,66.7,5.0,5.0,100.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,17.0,-4.0,10/09/2022,Sacramento Kings,29.25
Jusuf Nurkic,22:22,4.0,10.0,40.0,0.0,1.0,0.0,6.0,6.0,100.0,2.0,7.0,9.0,1.0,0.0,1.0,5.0,1.0,14.0,-7.0,10/09/2022,Sacramento Kings,26.25
Anfernee Simons,27:46,5.0,9.0,55.6,4.0,8.0,50.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,16.0,-8.0,10/09/2022,Sacramento Kings,24.5
Damian Lillard,27:16,2.0,10.0,20.0,0.0,4.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,3.0,8.0,-23.0,10/09/2022,Sacramento Kings,18.0
Keon Johnson,21:30,2.0,6.0,33.3,1.0,4.0,25.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,5.0,-36.0,10/09/2022,Sacramento Kings,10.25
Nassir Little,17:57,3.0,4.0,75.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,7.0,-31.0,10/09/2022,Sacramento Kings,12.25
Olivier Sarr,16:58,1.0,4.0,25.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,-24.0,10/09/2022,Sacramento Kings,8.25
Trendon Watford,12:13,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,-19.0,10/09/2022,Sacramento Kings,5.75
Shaedon Sharpe,13:21,3.0,7.0,42.9,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,-1.0,10/09/2022,Sacramento Kings,14.25
Greg Brown III,10:48,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-9.0,10/09/2022,Sacramento Kings,5.0
Drew Eubanks,8:40,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,10/09/2022,Sacramento Kings,2.0
Isaiah Miller,6:07,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,4.0,10/09/2022,Sacramento Kings,6.75
Jabari Walker,6:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10/09/2022,Sacramento Kings,1.25
