,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
O.G. Anunoby,38:21,5.0,14.0,35.7,3.0,6.0,50.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,1.0,0.0,3.0,13.0,4.0,10/22/2022,Miami Heat,29.75
Scottie Barnes,13:14,5.0,9.0,55.6,0.0,1.0,0.0,1.0,3.0,33.3,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,-8.0,10/22/2022,Miami Heat,18.0
Pascal Siakam,40:11,8.0,19.0,42.1,0.0,2.0,0.0,7.0,8.0,87.5,1.0,7.0,8.0,9.0,1.0,1.0,1.0,4.0,23.0,-5.0,10/22/2022,Miami Heat,50.0
Gary Trent Jr.,38:55,7.0,18.0,38.9,5.0,12.0,41.7,4.0,6.0,66.7,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,23.0,-6.0,10/22/2022,Miami Heat,35.25
Fred VanVleet,38:49,2.0,9.0,22.2,1.0,6.0,16.7,2.0,2.0,100.0,1.0,1.0,2.0,10.0,3.0,0.0,1.0,5.0,7.0,6.0,10/22/2022,Miami Heat,30.5
Precious Achiuwa,33:32,5.0,9.0,55.6,2.0,5.0,40.0,6.0,7.0,85.7,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,18.0,16.0,10/22/2022,Miami Heat,33.75
Christian Koloko,12:18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,10/22/2022,Miami Heat,3.5
Dalano Banton,5:33,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-3.0,10/22/2022,Miami Heat,5.5
Thaddeus Young,10:35,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,4.0,-15.0,10/22/2022,Miami Heat,10.0
Malachi Flynn,8:32,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,10/22/2022,Miami Heat,7.0
