,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Bojan Bogdanovic,27:42,0.0,9.0,0.0,0.0,5.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,-37.0,04/25/2022,Dallas Mavericks,3.75
Royce O'Neale,22:12,2.0,6.0,33.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,-29.0,04/25/2022,Dallas Mavericks,12.25
Rudy Gobert,26:56,6.0,7.0,85.7,0.0,0.0,0.0,5.0,7.0,71.4,4.0,7.0,11.0,0.0,1.0,0.0,1.0,5.0,17.0,-8.0,04/25/2022,Dallas Mavericks,32.25
Donovan Mitchell,31:35,4.0,15.0,26.7,0.0,7.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,9.0,-38.0,04/25/2022,Dallas Mavericks,13.0
Mike Conley,27:08,1.0,6.0,16.7,0.0,3.0,0.0,2.0,3.0,66.7,0.0,1.0,1.0,5.0,0.0,0.0,2.0,5.0,4.0,-7.0,04/25/2022,Dallas Mavericks,11.75
Jordan Clarkson,32:09,9.0,15.0,60.0,0.0,4.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,3.0,2.0,0.0,1.0,3.0,20.0,-17.0,04/25/2022,Dallas Mavericks,33.0
Hassan Whiteside,13:04,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,-18.0,04/25/2022,Dallas Mavericks,13.5
Danuel House Jr.,22:56,2.0,3.0,66.7,1.0,1.0,100.0,3.0,4.0,75.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,8.0,12.0,04/25/2022,Dallas Mavericks,15.5
Juancho Hernangomez,18:56,2.0,6.0,33.3,1.0,5.0,20.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0,5.0,8.0,04/25/2022,Dallas Mavericks,11.5
Eric Paschall,8:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,04/25/2022,Dallas Mavericks,2.5
Nickeil Alexander-Walker,4:41,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,04/25/2022,Dallas Mavericks,9.75
Jared Butler,4:41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,04/25/2022,Dallas Mavericks,1.25
