,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Anthony Gill,20:20,3.0,5.0,60.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,3.0,7.0,3.0,10/10/2022,Charlotte Hornets,15.0
Kyle Kuzma,28:48,5.0,10.0,50.0,3.0,6.0,50.0,2.0,2.0,100.0,0.0,5.0,5.0,3.0,0.0,1.0,1.0,2.0,15.0,-7.0,10/10/2022,Charlotte Hornets,28.75
Kristaps Porzingis,15:50,5.0,10.0,50.0,3.0,4.0,75.0,7.0,7.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,20.0,4.0,10/10/2022,Charlotte Hornets,24.75
Will Barton,25:10,4.0,10.0,40.0,2.0,6.0,33.3,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,2.0,0.0,10.0,-8.0,10/10/2022,Charlotte Hornets,24.25
Monte Morris,20:53,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,1.0,2.0,0.0,-6.0,10/10/2022,Charlotte Hornets,14.5
Delon Wright,22:49,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,10.0,9.0,10/10/2022,Charlotte Hornets,19.5
Rui Hachimura,24:45,6.0,12.0,50.0,0.0,3.0,0.0,3.0,4.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,15.0,11.0,10/10/2022,Charlotte Hornets,17.75
Johnny Davis,15:26,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,6.0,10/10/2022,Charlotte Hornets,7.5
Jordan Goodwin,20:44,3.0,8.0,37.5,1.0,2.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,4.0,0.0,0.0,3.0,7.0,7.0,10/10/2022,Charlotte Hornets,24.75
Daniel Gafford,22:39,7.0,9.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,3.0,1.0,0.0,1.0,5.0,14.0,-4.0,10/10/2022,Charlotte Hornets,28.75
Vernon Carey Jr.,9:31,3.0,5.0,60.0,0.0,0.0,0.0,1.0,3.0,33.3,3.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,7.0,9.0,10/10/2022,Charlotte Hornets,17.25
Quenton Jackson,8:47,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,15.0,10/10/2022,Charlotte Hornets,9.25
Devon Dotson,4:18,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,10/10/2022,Charlotte Hornets,4.5
